time,original,filtered
0.072000,-0.293893,0.539289
0.073000,-1.102910,0.744215
0.074000,-1.426585,0.875240
0.075000,-1.000000,0.918888
0.076000,-0.475528,0.872588
0.077000,-0.515124,0.742576
0.078000,-0.881678,0.540928
0.079000,-0.784545,0.285278
0.080000,-0.000000,0.000000
0.081000,0.784545,-0.285278
0.082000,0.881678,-0.540928
0.083000,0.515124,-0.742576
0.084000,0.475528,-0.872588
0.085000,1.000000,-0.918888
0.086000,1.426585,-0.875240
0.087000,1.102910,-0.744215
0.088000,0.293893,-0.539289
0.089000,-0.166511,-0.282626
0.090000,-0.000000,-0.000000
0.091000,0.166511,0.282626
0.092000,-0.293893,0.539289
0.093000,-1.102910,0.744215
0.094000,-1.426585,0.875240
0.095000,-1.000000,0.918888
0.096000,-0.475528,0.872588
0.097000,-0.515124,0.742576
0.098000,-0.881678,0.540928
0.099000,-0.784545,0.285278
0.100000,0.000000,0.000000
0.101000,0.784545,-0.285278
0.102000,0.881678,-0.540928
0.103000,0.515124,-0.742576
0.104000,0.475528,-0.872588
0.105000,1.000000,-0.918888
0.106000,1.426585,-0.875240
0.107000,1.102910,-0.744215
0.108000,0.293893,-0.539289
0.109000,-0.166511,-0.282626
0.110000,0.000000,0.000000
0.111000,0.166511,0.282626
0.112000,-0.293893,0.539289
0.113000,-1.102910,0.744215
0.114000,-1.426585,0.875240
0.115000,-1.000000,0.918888
0.116000,-0.475528,0.872588
0.117000,-0.515124,0.742576
0.118000,-0.881678,0.540928
0.119000,-0.784545,0.285278
0.120000,-0.000000,0.000000
0.121000,0.784545,-0.285278
0.122000,0.881678,-0.540928
0.123000,0.515124,-0.742576
0.124000,0.475528,-0.872588
0.125000,1.000000,-0.918888
0.126000,1.426585,-0.875240
0.127000,1.102910,-0.744215
0.128000,0.293893,-0.539289
0.129000,-0.166511,-0.282626
0.130000,0.000000,-0.000000
0.131000,0.166511,0.282626
0.132000,-0.293893,0.539289
0.133000,-1.102910,0.744215
0.134000,-1.426585,0.875240
0.135000,-1.000000,0.918888
0.136000,-0.475528,0.872588
0.137000,-0.515124,0.742576
0.138000,-0.881678,0.540928
0.139000,-0.784545,0.285278
0.140000,0.000000,-0.000000
0.141000,0.784545,-0.285278
0.142000,0.881678,-0.540928
0.143000,0.515124,-0.742576
0.144000,0.475528,-0.872588
0.145000,1.000000,-0.918888
0.146000,1.426585,-0.875240
0.147000,1.102910,-0.744215
0.148000,0.293893,-0.539289
0.149000,-0.166511,-0.282626
0.150000,0.000000,0.000000
0.151000,0.166511,0.282626
0.152000,-0.293893,0.539289
0.153000,-1.102910,0.744215
0.154000,-1.426585,0.875240
0.155000,-1.000000,0.918888
0.156000,-0.475528,0.872588
0.157000,-0.515124,0.742576
0.158000,-0.881678,0.540928
0.159000,-0.784545,0.285278
0.160000,-0.000000,0.000000
0.161000,0.784545,-0.285278
0.162000,0.881678,-0.540928
0.163000,0.515124,-0.742576
0.164000,0.475528,-0.872588
0.165000,1.000000,-0.918888
0.166000,1.426585,-0.875240
0.167000,1.102910,-0.744215
0.168000,0.293893,-0.539289
0.169000,-0.166511,-0.282626
0.170000,0.000000,-0.000000
0.171000,0.166511,0.282626
0.172000,-0.293893,0.539289
0.173000,-1.102910,0.744215
0.174000,-1.426585,0.875240
0.175000,-1.000000,0.918888
0.176000,-0.475528,0.872588
0.177000,-0.515124,0.742576
0.178000,-0.881678,0.540928
0.179000,-0.784545,0.285278
0.180000,-0.000000,-0.000000
0.181000,0.784545,-0.285278
0.182000,0.881678,-0.540928
0.183000,0.515124,-0.742576
0.184000,0.475528,-0.872588
0.185000,1.000000,-0.918888
0.186000,1.426585,-0.875240
0.187000,1.102910,-0.744215
0.188000,0.293893,-0.539289
0.189000,-0.166511,-0.282626
0.190000,0.000000,-0.000000
0.191000,0.166511,0.282626
0.192000,-0.293893,0.539289
0.193000,-1.102910,0.744215
0.194000,-1.426585,0.875240
0.195000,-1.000000,0.918888
0.196000,-0.475528,0.872588
0.197000,-0.515124,0.742576
0.198000,-0.881678,0.540928
0.199000,-0.784545,0.285278
0.200000,0.000000,-0.000000
0.201000,0.784545,-0.285278
0.202000,0.881678,-0.540928
0.203000,0.515124,-0.742576
0.204000,0.475528,-0.872588
0.205000,1.000000,-0.918888
0.206000,1.426585,-0.875240
0.207000,1.102910,-0.744215
0.208000,0.293893,-0.539289
0.209000,-0.166511,-0.282626
0.210000,0.000000,0.000000
0.211000,0.166511,0.282626
0.212000,-0.293893,0.539289
0.213000,-1.102910,0.744215
0.214000,-1.426585,0.875240
0.215000,-1.000000,0.918888
0.216000,-0.475528,0.872588
0.217000,-0.515124,0.742576
0.218000,-0.881678,0.540928
0.219000,-0.784545,0.285278
0.220000,0.000000,0.000000
0.221000,0.784545,-0.285278
0.222000,0.881678,-0.540928
0.223000,0.515124,-0.742576
0.224000,0.475528,-0.872588
0.225000,1.000000,-0.918888
0.226000,1.426585,-0.875240
0.227000,1.102910,-0.744215
0.228000,0.293893,-0.539289
